ParticipantID,SEX,ParticipantAge,PartnerNumber,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExp,LHYearsLeftToLiv
29,0,35,3,3,1,6,1,7,7,1,1,7,1,7,1,1,7,1,7,1,.394169620347785,.538352118707369,-.604629292728481,-1.01302065400516,7,1,1,7,7,7,7,7,4,7,7,1,7,7,7,5,5,5,3,1,0,80
32,0,34,55,160,4,25,7,4,4,7,2,4,6,7,7,7,4,3,4,4,.394169620347785,.538352118707369,-1.38936092797183,1.26317473387174,4,3,6,7,7,6,2,2,4,4,1,1,1,1,1,1,1,1,1,1,0,40
34,0,32,5,1,1,8,1,2,6,2,2,6,2,2,2,3,5,2,7,2,-.44201679969636,.538352118707369,-.604629292728481,.504442937912773,5,3,3,3,3,5,6,5,7,7,6,7,7,7,7,7,6,6,5,7,3,50
36,0,49,10,20,1,2,6,5,4,5,5,5,5,6,5,5,5,4,6,6,.394169620347785,.538352118707369,.964833977758214,.504442937912773,6,2,1,6,7,5,6,5,4,5,6,3,6,5,6,7,5,5,3,2,1,35
37,0,34,10,15,1,8,7,7,6,7,4,7,4,7,6,7,7,4,5,6,1.23035604039193,.538352118707369,-.604629292728481,.504442937912773,6,2,3,6,7,3,7,7,4,7,3,1,7,7,6,7,6,6,3,5,2,30
41,0,33,3,3,1,25,2,2,6,5,6,7,2,2,7,6,6,2,1,6,.394169620347785,.538352118707369,.964833977758214,2.0219065298307,6,2,2,2,6,6,1,1,1,7,2,7,1,6,6,6,6,6,6,6,2,10
42,0,32,5,23,19,3,6,6,7,7,4,7,5,5,6,7,6,4,6,4,1.23035604039193,1.42590561171141,.964833977758214,1.26317473387174,7,1,1,7,7,3,7,7,7,7,3,1,7,7,7,7,7,7,4,1,1,60
43,0,29,1,1,1,2,7,7,4,1,1,4,1,1,1,5,7,1,7,7,-1.27820321974051,.538352118707369,.964833977758214,1.26317473387174,6,1,2,7,6,1,7,7,7,7,1,7,5,5,6,7,7,7,6,6,2,20
45,0,70,23,12,0,0,3,5,5,3,2,6,4,5,5,2,6,3,5,2,-1.27820321974051,-1.23675486730071,-.604629292728481,.504442937912773,3,3,3,7,3,3,1,1,3,2,2,3,1,2,5,4,3,4,2,2,2,10
46,0,45,1,1,1,8,1,1,1,1,1,1,1,1,1,1,6,1,6,2,-.44201679969636,.538352118707369,-.604629292728481,-.254288858046192,6,2,1,6,6,6,4,6,7,7,1,7,4,6,4,4,4,5,4,4,1,25
