ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
299,1,44,1,6,1,5,1,1,1,6,4,1,4,4,1,1,3,9,5,6,3,2,1,5,7,5,6,7,5,1,1,4,3,7,7,5,3,7,3,2,7,1,4
360,0,44,5,4,5,6,4,5,6,4,3,5,6,5,2,1,1,1,1,1,2,2,1,5,4,3,4,5,6,5,4,3,5,5,6,5,4,3,4,5,6,4,3
224,1,43,5,4,4,5,4,4,3,4,5,5,5,4,8,7,8,7,6,6,6,7,6,5,4,3,4,4,4,4,3,4,4,4,3,4,5,4,4,4,3,4,5
135,1,43,3,1,1,6,2,1,4,1,6,3,6,1,2,4,1,1,1,9,6,5,1,5,6,6,6,5,3,4,4,7,2,7,7,6,6,6,5,6,6,2,6
274,1,43,1,1,1,7,7,1,1,1,7,1,7,1,2,1,1,1,1,9,1,1,1,6,7,7,6,6,5,1,1,6,6,7,7,1,1,1,7,7,7,1,1
329,0,43,1,1,1,6,1,1,1,1,6,1,6,5,2,4,5,2,1,9,3,3,2,5,5,6,5,6,6,7,7,7,7,7,6,5,7,7,7,6,6,4,6
358,0,43,1,4,4,7,1,4,1,4,7,2,7,6,2,4,3,9,9,1,8,7,6,4,6,4,4,5,5,6,2,7,7,4,2,2,2,2,3,3,3,3,3
382,0,43,6,3,4,3,5,3,3,5,5,2,4,4,2,3,5,7,5,4,7,7,5,5,6,4,4,4,6,4,3,5,5,3,3,6,4,3,5,5,2,5,5
124,1,42,1,6,1,4,1,1,4,6,4,1,4,6,2,3,3,9,9,5,3,3,3,5,5,6,6,4,5,6,6,6,6,7,4,6,6,6,6,6,6,6,4
147,1,42,3,5,1,7,1,2,2,4,6,2,6,2,5,2,4,9,9,1,4,5,2,5,6,6,5,5,4,4,5,6,6,5,3,6,6,6,7,6,6,5,4
157,1,42,6,1,2,6,3,1,2,1,6,2,4,2,1,3,2,5,1,9,2,1,2,1,6,4,3,5,7,1,7,4,5,7,7,5,3,3,6,3,7,3,1
204,1,42,1,6,1,7,1,1,1,6,5,1,5,6,2,1,1,1,1,9,2,2,2,5,4,7,7,5,7,7,7,4,7,7,7,7,7,7,7,7,7,4,7
273,1,42,7,3,5,6,5,1,1,2,6,1,6,6,2,2,2,1,1,9,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
